time,cpu_affinity,pid,rss,cpu,fault_flag
2022-11-23 11:08:00,37426,37426,13251837952,0.0,0
2022-11-23 11:08:00,37563,37563,14524612608,0.0,0
2022-11-23 11:08:00,37631,37631,12057837568,0.0,0
2022-11-23 11:08:00,37494,37494,14565965824,0.0,0
2022-11-23 11:08:00,37768,37768,12773752832,0.0,0
2022-11-23 11:08:00,37775,37775,13927645184,0.0,0
2022-11-23 11:08:00,37699,37699,12514164736,0.0,0
2022-11-23 11:08:00,37423,37423,10130227200,0.0,0
2022-11-23 11:09:00,37426,37426,18662096896,225.58,0
2022-11-23 11:09:00,37563,37563,18657968128,258.31,0
2022-11-23 11:09:00,37631,37631,18494849024,195.62,0
2022-11-23 11:09:00,37494,37494,18356305920,289.7,0
2022-11-23 11:09:00,37768,37768,18692571136,201.8,0
2022-11-23 11:09:00,37775,37775,18548129792,235.41,0
2022-11-23 11:09:00,37699,37699,18273665024,180.44,0
2022-11-23 11:09:00,37423,37423,18222874624,162.82,0
2022-11-23 11:10:00,37426,37426,19888996352,300.48,0
2022-11-23 11:10:00,37563,37563,19884998656,302.11,0
2022-11-23 11:10:00,37631,37631,19749339136,304.05,0
2022-11-23 11:10:00,37494,37494,19936247808,293.92,0
2022-11-23 11:10:00,37768,37768,19919601664,296.96,0
2022-11-23 11:10:00,37775,37775,19772735488,301.38,0
2022-11-23 11:10:00,37699,37699,19797311488,308.21,0
2022-11-23 11:10:00,37423,37423,19859767296,313.31,0
2022-11-23 11:11:00,37426,37426,19888996352,286.9,0
2022-11-23 11:11:00,37563,37563,19884998656,285.03,0
2022-11-23 11:11:00,37631,37631,19749339136,282.7,0
2022-11-23 11:11:00,37494,37494,19936247808,294.49,0
2022-11-23 11:11:00,37768,37768,19919601664,292.76,0
2022-11-23 11:11:00,37775,37775,19772735488,286.37,0
2022-11-23 11:11:00,37699,37699,19797311488,284.38,0
2022-11-23 11:11:00,37423,37423,19862585344,280.72,0
2022-11-23 11:12:00,37426,37426,19888996352,292.54,0
2022-11-23 11:12:00,37563,37563,19884998656,296.1,0
2022-11-23 11:12:00,37631,37631,19749339136,300.16,0
2022-11-23 11:12:00,37494,37494,19936247808,286.89,0
2022-11-23 11:12:00,37768,37768,19919601664,293.35,0
2022-11-23 11:12:00,37775,37775,19772735488,292.93,0
2022-11-23 11:12:00,37699,37699,19797311488,294.81,0
2022-11-23 11:12:00,37423,37423,19862585344,298.68,0
2022-11-23 11:13:00,37426,37426,19889192960,451.43,0
2022-11-23 11:13:00,37563,37563,19884998656,300.19,0
2022-11-23 11:13:00,37631,37631,19749339136,299.23,0
2022-11-23 11:13:00,37494,37494,19944964096,475.8,0
2022-11-23 11:13:00,37768,37768,19928317952,458.2,0
2022-11-23 11:13:00,37775,37775,19772997632,449.7,0
2022-11-23 11:13:00,37699,37699,19797311488,298.89,0
2022-11-23 11:13:00,37423,37423,19862585344,295.67,0
2022-11-23 11:14:00,37426,37426,19903283200,275.55,0
2022-11-23 11:14:00,37563,37563,19898892288,445.87,0
2022-11-23 11:14:00,37631,37631,19763494912,432.68,0
2022-11-23 11:14:00,37494,37494,19951714304,246.35,0
2022-11-23 11:14:00,37768,37768,19935395840,247.03,0
2022-11-23 11:14:00,37775,37775,19787350016,289.57,0
2022-11-23 11:14:00,37699,37699,19811532800,419.14,0
2022-11-23 11:14:00,37423,37423,19876282368,445.67,0
2022-11-23 11:15:00,37426,37426,21990670336,224.66,0
2022-11-23 11:15:00,37563,37563,21988376576,225.57,0
2022-11-23 11:15:00,37631,37631,21850750976,223.1,0
2022-11-23 11:15:00,37494,37494,22038446080,224.03,0
2022-11-23 11:15:00,37768,37768,22022193152,221.31,0
2022-11-23 11:15:00,37775,37775,21875523584,224.15,0
2022-11-23 11:15:00,37699,37699,21898919936,223.53,0
2022-11-23 11:15:00,37423,37423,21963603968,222.77,0
2022-11-23 11:16:00,37426,37426,21990670336,189.6,0
2022-11-23 11:16:00,37563,37563,21988376576,189.83,0
2022-11-23 11:16:00,37631,37631,21850816512,189.26,0
2022-11-23 11:16:00,37494,37494,22038446080,189.65,0
2022-11-23 11:16:00,37768,37768,22022193152,188.84,0
2022-11-23 11:16:00,37775,37775,21875654656,189.35,0
2022-11-23 11:16:00,37699,37699,21898919936,189.51,0
2022-11-23 11:16:00,37423,37423,21963603968,189.02,0
2022-11-23 11:17:00,37426,37426,21990670336,194.56,0
2022-11-23 11:17:00,37563,37563,21988376576,194.4,0
2022-11-23 11:17:00,37631,37631,21850816512,193.27,0
2022-11-23 11:17:00,37494,37494,22038446080,194.24,0
2022-11-23 11:17:00,37768,37768,22022193152,193.83,0
2022-11-23 11:17:00,37775,37775,21875654656,193.87,0
2022-11-23 11:17:00,37699,37699,21898919936,194.39,0
