time,cpu_affinity,pid,rss,cpu,fault_flag
2022-11-30 09:29:00,41551,41551,15645474816,0.0,0
2022-11-30 09:29:00,41625,41625,16449732608,0.0,0
2022-11-30 09:29:00,41481,41481,15680077824,0.0,0
2022-11-30 09:29:00,41827,41827,17841455104,0.0,0
2022-11-30 09:29:00,41410,41410,15671427072,0.0,0
2022-11-30 09:29:00,41693,41693,18253152256,0.0,0
2022-11-30 09:29:00,41413,41413,17065115648,0.0,0
2022-11-30 09:29:00,41619,41619,17707761664,0.0,0
2022-11-30 09:30:00,41551,41551,19425591296,315.52,0
2022-11-30 09:30:00,41625,41625,18595708928,269.14,0
2022-11-30 09:30:00,41481,41481,19688456192,318.51,0
2022-11-30 09:30:00,41827,41827,19266797568,334.64,0
2022-11-30 09:30:00,41410,41410,19795214336,298.32,0
2022-11-30 09:30:00,41693,41693,19884539904,331.74,0
2022-11-30 09:30:00,41413,41413,19798491136,290.46,0
2022-11-30 09:30:00,41619,41619,19716571136,280.28,0
2022-11-30 09:31:00,41551,41551,19779878912,295.3,0
2022-11-30 09:31:00,41625,41625,19816185856,297.38,0
2022-11-30 09:31:00,41481,41481,19712835584,292.29,0
2022-11-30 09:31:00,41827,41827,19293667328,291.66,0
2022-11-30 09:31:00,41410,41410,19890831360,295.18,0
2022-11-30 09:31:00,41693,41693,19921108992,287.77,0
2022-11-30 09:31:00,41413,41413,19892666368,291.71,0
2022-11-30 09:31:00,41619,41619,19741081600,291.52,0
2022-11-30 09:32:00,41551,41551,19779878912,283.33,0
2022-11-30 09:32:00,41625,41625,19816185856,283.54,0
2022-11-30 09:32:00,41481,41481,19712835584,285.48,0
2022-11-30 09:32:00,41827,41827,19293667328,287.49,0
2022-11-30 09:32:00,41410,41410,19890831360,283.81,0
2022-11-30 09:32:00,41693,41693,19921108992,289.24,0
2022-11-30 09:32:00,41413,41413,19892666368,287.35,0
2022-11-30 09:32:00,41619,41619,19741081600,289.93,0
